filename,decision,destination
Coffen-Burke J. et al. - 2023 - Designing Software for Genomics Medicine Service Leaders to Engage Stakeholders.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Coffen-Burke J. et al. - 2023 - Designing Software for Genomics Medicine Service Leaders to Engage Stakeholders.txt
Colceriu C. et al. - 2023 - User centered design in mobile human robot cooperation consideration of usability and situation awar.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Colceriu C. et al. - 2023 - User centered design in mobile human robot cooperation consideration of usability and situation awar.txt
Connelly K. et al. - 2012 - An offline mobile nutrition monitoring intervention for varying literacy patients receiving hemodial.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Connelly K. et al. - 2012 - An offline mobile nutrition monitoring intervention for varying literacy patients receiving hemodial.txt
Cornet et al. - 2020 - Untold Stories in User Centered Design of Mobile Health Practical Challenges and Strategies Learned.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Cornet et al. - 2020 - Untold Stories in User Centered Design of Mobile Health Practical Challenges and Strategies Learned.txt
Costa et al. - 2015 - Lessons Learned on Developing Educational Systems Using a Hybrid User Centered Methodology.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Costa et al. - 2015 - Lessons Learned on Developing Educational Systems Using a Hybrid User Centered Methodology.txt
Coulter R.W.S. et al. - 2021 - Generating intervention concepts for reducing adolescent relationship abuse inequities among sexual.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Coulter R.W.S. et al. - 2021 - Generating intervention concepts for reducing adolescent relationship abuse inequities among sexual.txt
Counson et al. - 2021 - Development of the Shift Smartphone App to Support the Emotional Well Being of Junior Physicians Des.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Counson et al. - 2021 - Development of the Shift Smartphone App to Support the Emotional Well Being of Junior Physicians Des.txt
Crisan et al. - 2018 - Evidence based design and evaluation of a whole genome sequencing clinical report for the reference.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Crisan et al. - 2018 - Evidence based design and evaluation of a whole genome sequencing clinical report for the reference.txt
Cristancho-Lacroix V. et al. - 2014 - A web based program for informal caregivers of persons with alzheimer s disease An iterative user ce.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Cristancho-Lacroix V. et al. - 2014 - A web based program for informal caregivers of persons with alzheimer s disease An iterative user ce.txt
Curtis H. et al. - 2023 - Envisioning the In Visibility of Discreet and Wearable AAC Devices.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Curtis H. et al. - 2023 - Envisioning the In Visibility of Discreet and Wearable AAC Devices.txt
Cutini et al. - 2017 - Safety Critical Manuals for Agricultural Tractor Drivers A Method to Improve Their Usability.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Cutini et al. - 2017 - Safety Critical Manuals for Agricultural Tractor Drivers A Method to Improve Their Usability.txt
Cutting E. et al. - 2016 - User centered design of multi gene sequencing panel reports for clinicians.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Cutting E. et al. - 2016 - User centered design of multi gene sequencing panel reports for clinicians.txt
Dahildahil R.O. et al. - 2023 - User centered Design in Time and Resource limited Settings Enhancing the Usability of Hearing for Li.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Dahildahil R.O. et al. - 2023 - User centered Design in Time and Resource limited Settings Enhancing the Usability of Hearing for Li.txt
Danitz S.B. et al. - 2019 - When user centered design meets implementation science Integrating provider perspectives in the deve.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Danitz S.B. et al. - 2019 - When user centered design meets implementation science Integrating provider perspectives in the deve.txt
Deliv et al. - 2023 - Development of a video based evidence synthesis knowledge translation resource Drawing on a user cen.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Deliv et al. - 2023 - Development of a video based evidence synthesis knowledge translation resource Drawing on a user cen.txt
Derks et al. - 2019 - Development of an Ambulatory Biofeedback App to Enhance Emotional Awareness in Patients with Borderl.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Derks et al. - 2019 - Development of an Ambulatory Biofeedback App to Enhance Emotional Awareness in Patients with Borderl.txt
Derksen et al. - 2021 - Mobile Health for Smoking Cessation Among Disadvantaged Young Women During and After Pregnancy User.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Derksen et al. - 2021 - Mobile Health for Smoking Cessation Among Disadvantaged Young Women During and After Pregnancy User.txt
Desai AD - 2018 - Caregiver and Health Care Provider Perspectives on Cloud Based Shared Care Plans for Children With M.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Desai AD - 2018 - Caregiver and Health Care Provider Perspectives on Cloud Based Shared Care Plans for Children With M.txt
Desai et al. - 2021 - A Novel Patient Values Tab for the Electronic Health Record A User Centered Design Approach.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Desai et al. - 2021 - A Novel Patient Values Tab for the Electronic Health Record A User Centered Design Approach.txt
Dijkstra NE - 2018 - Development of eHOME a Mobile Instrument for Reporting Monitoring and Consulting Drug Related Proble.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Dijkstra NE - 2018 - Development of eHOME a Mobile Instrument for Reporting Monitoring and Consulting Drug Related Proble.txt
Diaz-Mohedo et al. - 2024 - App Mohedo r A mobile app for the management of chronic pelvic pain A design and development study.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Diaz-Mohedo et al. - 2024 - App Mohedo r A mobile app for the management of chronic pelvic pain A design and development study.txt
Ippoliti et al. - 2021 - Using Human Centered Design to Develop Launch and Evaluate a National Digital Health Platform to Imp.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Ippoliti et al. - 2021 - Using Human Centered Design to Develop Launch and Evaluate a National Digital Health Platform to Imp.txt
Irvine T - 2024 - Development and preliminary evaluation of a genetics education booklet for retinoblastoma.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Irvine T - 2024 - Development and preliminary evaluation of a genetics education booklet for retinoblastoma.txt
Isakadze et al. - 2022 - The Virtual Inclusive Digital Health Intervention Design to Promote Health Equity iDesign Framework.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Isakadze et al. - 2022 - The Virtual Inclusive Digital Health Intervention Design to Promote Health Equity iDesign Framework.txt
Isangula et al. - 2023 - Interventions co designed by healthcare providers and clients for improving therapeutic relationship.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Isangula et al. - 2023 - Interventions co designed by healthcare providers and clients for improving therapeutic relationship.txt
Isangula K - 2022 - Strengthening Interpersonal Relationships in Maternal and Child Health Care in Rural Tanzania Protoc.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Isangula K - 2022 - Strengthening Interpersonal Relationships in Maternal and Child Health Care in Rural Tanzania Protoc.txt
Jandasek et al. - 2024 - Friends Family and Food Development of a Food Allergy Intervention F3 App for Children.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Jandasek et al. - 2024 - Friends Family and Food Development of a Food Allergy Intervention F3 App for Children.txt
Jayes et al. - 2021 - Giving voice to people with communication disabilities during mental capacity assessments.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Jayes et al. - 2021 - Giving voice to people with communication disabilities during mental capacity assessments.txt
Jenssen et al. - 2022 - Electronic Health Record Embedded Behavioral Science Informed System for Smoking Cessation for the P.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Jenssen et al. - 2022 - Electronic Health Record Embedded Behavioral Science Informed System for Smoking Cessation for the P.txt
Johnston et al. - 2022 - Human Centered Design of a Digital Health Tool to Promote Effective Self care in Patients With Heart.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Johnston et al. - 2022 - Human Centered Design of a Digital Health Tool to Promote Effective Self care in Patients With Heart.txt
Kabukye et al. - 2024 - Implementing a Hospital Call Center Service for Mental Health in Uganda User Centered Design Approac.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Kabukye et al. - 2024 - Implementing a Hospital Call Center Service for Mental Health in Uganda User Centered Design Approac.txt
Kaduru CC - 2023 - Using community theater to improve demand for vaccination services in the Niger Delta Region of Nige.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Kaduru CC - 2023 - Using community theater to improve demand for vaccination services in the Niger Delta Region of Nige.txt
Kallen et al. - 2012 - A technical solution to improving palliative and hospice care.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Kallen et al. - 2012 - A technical solution to improving palliative and hospice care.txt
Kananura et al. - 2024 - Increasing coverage and uptake of voluntary family planning in Uganda s emerging municipalities and.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Kananura et al. - 2024 - Increasing coverage and uptake of voluntary family planning in Uganda s emerging municipalities and.txt
Karaosmanoglu S. et al. - 2021 - Lessons Learned from a Human Centered Design of an Immersive Exergame for People with Dementia.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Karaosmanoglu S. et al. - 2021 - Lessons Learned from a Human Centered Design of an Immersive Exergame for People with Dementia.txt
Karim A.T.M.R. et al. - 2022 - Developing a group Model of ANC PNC through human centered Design HCD to Improve MNCH of first time.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Karim A.T.M.R. et al. - 2022 - Developing a group Model of ANC PNC through human centered Design HCD to Improve MNCH of first time.txt
Karpathakis et al. - 2021 - An Evaluation Service for Digital Public Health Interventions User Centered Design Approach.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Karpathakis et al. - 2021 - An Evaluation Service for Digital Public Health Interventions User Centered Design Approach.txt
Katusiime and Pinkwart - 2019 - A Mobile App for Illiterate and Semi illiterate Pregnant Women A User Centered Approach.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Katusiime and Pinkwart - 2019 - A Mobile App for Illiterate and Semi illiterate Pregnant Women A User Centered Approach.txt
Kepper M - 2024 - Supporting Teams with Designing for Dissemination and Sustainability the Design Development and Usab.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Kepper M - 2024 - Supporting Teams with Designing for Dissemination and Sustainability the Design Development and Usab.txt
Khan et al. - 2023 - Psychosocial support during childbirth Development and adaptation of WHO s Mental Health Gap Action.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Khan et al. - 2023 - Psychosocial support during childbirth Development and adaptation of WHO s Mental Health Gap Action.txt
Khowaja et al. - 2022 - A Participatory Design Approach to Develop Visualization of Wearable Actigraphy Data for Health Care.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Khowaja et al. - 2022 - A Participatory Design Approach to Develop Visualization of Wearable Actigraphy Data for Health Care.txt
Kifle M. et al. - 2017 - Contextualizing user centered design with agile methods in Ethiopia.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Kifle M. et al. - 2017 - Contextualizing user centered design with agile methods in Ethiopia.txt
Kim et al. - 2021 - Designing an Indoor Air Quality Monitoring App for Asthma Management in Children User Centered Desig.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Kim et al. - 2021 - Designing an Indoor Air Quality Monitoring App for Asthma Management in Children User Centered Desig.txt
Kim et al. - 2022 - Mobile health platform based on user centered design to promote exercise for patients with periphera.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Kim et al. - 2022 - Mobile health platform based on user centered design to promote exercise for patients with periphera.txt
Kim et al. - 2022 - Reviewing the User Centered Design Process for a Comprehensive Gastroesophageal Reflux Disease GERD.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Kim et al. - 2022 - Reviewing the User Centered Design Process for a Comprehensive Gastroesophageal Reflux Disease GERD.txt
King J. et al. - 2019 - Preflight Weather Decision Support Tool PWDST User Centered Design Process and Usability Validation.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\King J. et al. - 2019 - Preflight Weather Decision Support Tool PWDST User Centered Design Process and Usability Validation.txt
Kongjit et al. - 2022 - Mobile health application for Thai women investigation and model.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Kongjit et al. - 2022 - Mobile health application for Thai women investigation and model.txt
Koopman R.J. et al. - 2020 - Home blood pressure data visualization for the management of hypertension Designing for patient and.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Koopman R.J. et al. - 2020 - Home blood pressure data visualization for the management of hypertension Designing for patient and.txt
Korpershoek et al. - 2020 - User Centered Design of a Mobile Health Intervention to Enhance Exacerbation Related Self Management.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Korpershoek et al. - 2020 - User Centered Design of a Mobile Health Intervention to Enhance Exacerbation Related Self Management.txt
Koumpouros - 2022 - User Centric Design Methodology for mHealth Apps The PainApp Paradigm for Chronic Pain.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Koumpouros - 2022 - User Centric Design Methodology for mHealth Apps The PainApp Paradigm for Chronic Pain.txt
Kreyenbuhl J. et al. - 2019 - Development and Feasibility Testing of a Smartphone Intervention to Improve Adherence to Antipsychot.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Kreyenbuhl J. et al. - 2019 - Development and Feasibility Testing of a Smartphone Intervention to Improve Adherence to Antipsychot.txt
Kuhns et al. - 2021 - A Uniquely Targeted Mobile App Based HIV Prevention Intervention for Young Transgender Women Adaptat.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Kuhns et al. - 2021 - A Uniquely Targeted Mobile App Based HIV Prevention Intervention for Young Transgender Women Adaptat.txt
Kumar et al. - 2014 - Health care satisfaction among foreign residents in Taiwan An assessment and improvement.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Kumar et al. - 2014 - Health care satisfaction among foreign residents in Taiwan An assessment and improvement.txt
Laffranchi et al. - 2021 - User Centered Design and Development of the Modular TWIN Lower Limb Exoskeleton.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Laffranchi et al. - 2021 - User Centered Design and Development of the Modular TWIN Lower Limb Exoskeleton.txt
Langener et al. - 2022 - Immersive Virtual Reality Avatars for Embodiment Illusions in People With Mild to Borderline Intelle.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Langener et al. - 2022 - Immersive Virtual Reality Avatars for Embodiment Illusions in People With Mild to Borderline Intelle.txt
Larkin et al. - 2023 - ReachCare Mobile Apps for Patients Experiencing Suicidality in the Emergency Department Development.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Larkin et al. - 2023 - ReachCare Mobile Apps for Patients Experiencing Suicidality in the Emergency Department Development.txt
Lawani et al. - 2021 - User centered and theory based design of a professional training program on shared decision making w.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Lawani et al. - 2021 - User centered and theory based design of a professional training program on shared decision making w.txt
Lawrence et al. - 2021 - Effectiveness of an Integrated Engagement Support System to Facilitate Patient Use of Digital Diabet.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Lawrence et al. - 2021 - Effectiveness of an Integrated Engagement Support System to Facilitate Patient Use of Digital Diabet.txt
Lehmann et al. - 2022 - Designing AINA Intercultural Human Centered Design of an AI based Application for Supporting the Dia.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Lehmann et al. - 2022 - Designing AINA Intercultural Human Centered Design of an AI based Application for Supporting the Dia.txt
Leoputra C.D. et al. - 2023 - Application of User Centered Design Approach in Developing Interaction Design of In Kind Donation Fe.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Leoputra C.D. et al. - 2023 - Application of User Centered Design Approach in Developing Interaction Design of In Kind Donation Fe.txt
Leung et al. - 2020 - Human centered design as a guide to intervention planning for non communicable diseases the BIGPIC s.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Leung et al. - 2020 - Human centered design as a guide to intervention planning for non communicable diseases the BIGPIC s.txt
Lobo et al. - 2022 - mHealth intervention for carers of individuals with a history of stroke Heuristic evaluation and use.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Lobo et al. - 2022 - mHealth intervention for carers of individuals with a history of stroke Heuristic evaluation and use.txt
Logsdon et al. - 2020 - Partnering with new mothers to develop a smart phone app to prevent maternal mortality after hospita.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Logsdon et al. - 2020 - Partnering with new mothers to develop a smart phone app to prevent maternal mortality after hospita.txt
Lu J. and Schmidt M. - 2024 - Exploring the Needs and Preferences of Autistic Users in Extended Reality A Participatory and Human.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Lu J. and Schmidt M. - 2024 - Exploring the Needs and Preferences of Autistic Users in Extended Reality A Participatory and Human.txt
MacCallum L. et al. - 2013 - Use of an interdisciplinary participatory design approach to develop a usable patient self assessmen.txt,include,data\fulltext_screening\sorted_based_on_decision\included\MacCallum L. et al. - 2013 - Use of an interdisciplinary participatory design approach to develop a usable patient self assessmen.txt
Mahyar et al. - 2016 - UD Co Spaces A Table Centred Multi Display Environment for Public Engagement in Urban Design Charret.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Mahyar et al. - 2016 - UD Co Spaces A Table Centred Multi Display Environment for Public Engagement in Urban Design Charret.txt
Maphosa - 2022 - Delivering a Drug Information App to Underserved Communities A User Centered Design Approach.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Maphosa - 2022 - Delivering a Drug Information App to Underserved Communities A User Centered Design Approach.txt
Marchak J.G. et al. - 2020 - User centered design and enhancement of an electronic personal health record to support survivors of.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Marchak J.G. et al. - 2020 - User centered design and enhancement of an electronic personal health record to support survivors of.txt
Markensten E. and Artman H. - 2004 - Procuring a usable system using unemployed personas.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Markensten E. and Artman H. - 2004 - Procuring a usable system using unemployed personas.txt
Markkanen P. and Herneoja A. - 2024 - Constructing a theory informed workplace design framework co design case study for knowledge work en.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Markkanen P. and Herneoja A. - 2024 - Constructing a theory informed workplace design framework co design case study for knowledge work en.txt
Martin E. et al. - 2019 - Today I Tell A Comics and Story Creation App for People with Autism Spectrum Condition.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Martin E. et al. - 2019 - Today I Tell A Comics and Story Creation App for People with Autism Spectrum Condition.txt
Martin et al. - 2024 - An Interactive Modeling Tool for Projecting the Health and Direct Medical Cost Impact of Changes in.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Martin et al. - 2024 - An Interactive Modeling Tool for Projecting the Health and Direct Medical Cost Impact of Changes in.txt
McKinnon et al. - 2022 - Using human centred design to tackle COVID 19 vaccine hesitancy for children and youth a protocol fo.txt,include,data\fulltext_screening\sorted_based_on_decision\included\McKinnon et al. - 2022 - Using human centred design to tackle COVID 19 vaccine hesitancy for children and youth a protocol fo.txt
McLoone H.E. et al. - 2010 - User centered design and evaluation of a next generation fixed split ergonomic keyboard.txt,include,data\fulltext_screening\sorted_based_on_decision\included\McLoone H.E. et al. - 2010 - User centered design and evaluation of a next generation fixed split ergonomic keyboard.txt
McWilliams et al. - 2018 - Patient and Family Engagement in the Design of a Mobile Health Solution for Pediatric Asthma Develop.txt,include,data\fulltext_screening\sorted_based_on_decision\included\McWilliams et al. - 2018 - Patient and Family Engagement in the Design of a Mobile Health Solution for Pediatric Asthma Develop.txt
Mehdizadeh et al. - 2022 - An mHealth Self management System for Support Children With Acute Lymphocytic Leukemia and Their Car.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Mehdizadeh et al. - 2022 - An mHealth Self management System for Support Children With Acute Lymphocytic Leukemia and Their Car.txt
Mehra et al. - 2023 - A Tailored mHealth App for Improving Health and Well Being Behavioral Transformation in UK Police Wo.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Mehra et al. - 2023 - A Tailored mHealth App for Improving Health and Well Being Behavioral Transformation in UK Police Wo.txt
Memedi M. et al. - 2018 - An interface for IoT Feeding back health related data to Parkinson s disease patients.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Memedi M. et al. - 2018 - An interface for IoT Feeding back health related data to Parkinson s disease patients.txt
Michalak et al. - 2019 - Supporting Self Management in Bipolar Disorder Mixed Methods Knowledge Translation Study.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Michalak et al. - 2019 - Supporting Self Management in Bipolar Disorder Mixed Methods Knowledge Translation Study.txt
Miller et al. - 2023 - Human Centered Design of a Clinical Decision Support for Anemia Screening in Children with Inflammat.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Miller et al. - 2023 - Human Centered Design of a Clinical Decision Support for Anemia Screening in Children with Inflammat.txt
Monnet et al. - 2023 - Advance Care Planning Website for People With Dementia and Their Family Caregivers Protocol for a De.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Monnet et al. - 2023 - Advance Care Planning Website for People With Dementia and Their Family Caregivers Protocol for a De.txt
Monteiro et al. - 2021 - Improving Sleep Awareness Design and Development of an M Health App.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Monteiro et al. - 2021 - Improving Sleep Awareness Design and Development of an M Health App.txt
Monteiro-Guerra et al. - 2020 - A Personalized Physical Activity Coaching App for Breast Cancer Survivors Design Process and Early P.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Monteiro-Guerra et al. - 2020 - A Personalized Physical Activity Coaching App for Breast Cancer Survivors Design Process and Early P.txt
Moukarzel S. et al. - 2024 - Developing the Healthy Actions and Lifestyles to Avoid Dementia or Hispanos y el ALTo a la Demencia.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Moukarzel S. et al. - 2024 - Developing the Healthy Actions and Lifestyles to Avoid Dementia or Hispanos y el ALTo a la Demencia.txt
Muinga et al. - 2021 - Using a human centred design approach to develop a comprehensive newborn monitoring chart for inpati.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Muinga et al. - 2021 - Using a human centred design approach to develop a comprehensive newborn monitoring chart for inpati.txt
Mukherjee et al. - 2022 - Human Centered Design for Public Health Innovation Codesigning a Multicomponent Intervention to Supp.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Mukherjee et al. - 2022 - Human Centered Design for Public Health Innovation Codesigning a Multicomponent Intervention to Supp.txt
Myers B - 2024 - A stakeholder driven approach to designing a peer recovery coach role for implementation in communit.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Myers B - 2024 - A stakeholder driven approach to designing a peer recovery coach role for implementation in communit.txt
Nagraj et al. - 2023 - A Mobile Clinical Decision Support System for High Risk Pregnant Women in Rural India SMARThealth Pr.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Nagraj et al. - 2023 - A Mobile Clinical Decision Support System for High Risk Pregnant Women in Rural India SMARThealth Pr.txt
Naik A.D. et al. - 2018 - Development of a Clinically Feasible Process for Identifying Individual Health Priorities.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Naik A.D. et al. - 2018 - Development of a Clinically Feasible Process for Identifying Individual Health Priorities.txt
Naik et al. - 2017 - User centered design of discharge warnings tool for colorectal surgery patients.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Naik et al. - 2017 - User centered design of discharge warnings tool for colorectal surgery patients.txt
Nelson et al. - 2016 - Software prototyping A case report of refining user requirements for a health information exchange d.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Nelson et al. - 2016 - Software prototyping A case report of refining user requirements for a health information exchange d.txt
Nelson et al. - 2022 - User Centered Design and Evaluation of ARTTS an Augmented Reality Triage Tool Suite for Mass Casualt.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Nelson et al. - 2022 - User Centered Design and Evaluation of ARTTS an Augmented Reality Triage Tool Suite for Mass Casualt.txt
Newton A - 2020 - A Mobile Phone Based App for Use During Cognitive Behavioral Therapy for Adolescents With Anxiety Mi.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Newton A - 2020 - A Mobile Phone Based App for Use During Cognitive Behavioral Therapy for Adolescents With Anxiety Mi.txt
Nguyen et al. - 2019 - Utilizing a user centered approach to develop and assess pharmacogenomic clinical decision support f.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Nguyen et al. - 2019 - Utilizing a user centered approach to develop and assess pharmacogenomic clinical decision support f.txt
Nguyen et al. - 2023 - User Centered Design and Evaluation of Clinical Decision Support to Improve Early Peanut Introductio.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Nguyen et al. - 2023 - User Centered Design and Evaluation of Clinical Decision Support to Improve Early Peanut Introductio.txt
Nicklas et al. - 2020 - Development and Modification of a Mobile Health Program to Promote Postpartum Weight Loss in Women a.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Nicklas et al. - 2020 - Development and Modification of a Mobile Health Program to Promote Postpartum Weight Loss in Women a.txt
Nielsen et al. - 2018 - User Innovated eHealth Solutions for Service Delivery to Older Persons With Hearing Impairment.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Nielsen et al. - 2018 - User Innovated eHealth Solutions for Service Delivery to Older Persons With Hearing Impairment.txt
Nijagal et al. - 2021 - Using human centered design to identify opportunities for reducing inequities in perinatal care.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Nijagal et al. - 2021 - Using human centered design to identify opportunities for reducing inequities in perinatal care.txt
Niks et al. - 2020 - Promoting Employees Recovery During Shift Work Protocol for a Workplace Intervention Study.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Niks et al. - 2020 - Promoting Employees Recovery During Shift Work Protocol for a Workplace Intervention Study.txt
Njoki et al. - 2023 - Applying Human Centered Design to Replicate an Adolescent Sexual and Reproductive Health Interventio.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Njoki et al. - 2023 - Applying Human Centered Design to Replicate an Adolescent Sexual and Reproductive Health Interventio.txt
Nota et al. - 2017 - Development of a web based patient decision aid for initiating disease modifying anti rheumatic drug.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Nota et al. - 2017 - Development of a web based patient decision aid for initiating disease modifying anti rheumatic drug.txt
Nsangi et al. - 2020 - Development of the informed health choices resources in four countries to teach primary school child.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Nsangi et al. - 2020 - Development of the informed health choices resources in four countries to teach primary school child.txt
Nugroho I.F. et al. - 2022 - Designing Interaction of Institut Teknologi Bandung Mental Health Services.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Nugroho I.F. et al. - 2022 - Designing Interaction of Institut Teknologi Bandung Mental Health Services.txt
Nystrom DT - 2018 - Methods for Patient Centered Interface Design of Test Result Display in Online Portals.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Nystrom DT - 2018 - Methods for Patient Centered Interface Design of Test Result Display in Online Portals.txt
Ogola M - 2023 - Development of a small and sick newborn clinical audit tool and its implementation guide using a hum.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Ogola M - 2023 - Development of a small and sick newborn clinical audit tool and its implementation guide using a hum.txt
Olafsdottir et al. - 2020 - Developing ActivABLES for community dwelling stroke survivors using the Medical Research Council fra.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Olafsdottir et al. - 2020 - Developing ActivABLES for community dwelling stroke survivors using the Medical Research Council fra.txt
Oliveira E. et al. - 2023 - Prototyping a Digital Platform to Promote Hyper mediation Practices in the Territory.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Oliveira E. et al. - 2023 - Prototyping a Digital Platform to Promote Hyper mediation Practices in the Territory.txt
Onyeabor et al. - 2024 - Telemedicine in the age of the pandemics The prospects of web based remote patient monitoring system.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Onyeabor et al. - 2024 - Telemedicine in the age of the pandemics The prospects of web based remote patient monitoring system.txt
Oyebode O. et al. - 2021 - SleepFit A Persuasive Mobile App for Improving Sleep Habits in Young Adults.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Oyebode O. et al. - 2021 - SleepFit A Persuasive Mobile App for Improving Sleep Habits in Young Adults.txt
Panatto et al. - 2016 - Development and preliminary data on the use of a mobile app specifically designed to increase commun.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Panatto et al. - 2016 - Development and preliminary data on the use of a mobile app specifically designed to increase commun.txt
